src,trg
Proton diffusion in noble metals,Lifetime of Positrons in an Electron Gas
Detecting gravitational waves using entangled photon states,Einstein-Podolsky-Rosen correlation in a gravitational field
Angular Correlation Measurements in O15,"(d, n) Reactions in O16 and N14"
Activation study of collective excitations of the soliton-lattice phase in the ν=1 double-layer quantum Hall state,Many-body integer quantum Hall effect: Evidence for new phase transitions
Dynamics stabilization and transport coherency in a rocking ratchet for cold atoms,Dissipation-Induced Symmetry Breaking in a Driven Optical Lattice
"Charge Order, Superconductivity, and a Global Phase Diagram of Doped Antiferromagnets",Quadratic quantum antiferromagnets in the fermionic large-N limit
Epitaxy of CoSix (1&lt;x&lt;2) silicides on Si(111) studied by photoemission and extended x-ray-absorption fine-structure techniques,Growth of ultrathin iron silicide films: Observation of the γ-FeSi2 phase by electron spectroscopies
Hot Carrier Concentration in n-Type Germanium —a Suggested Experiment,New Hot-Electron Negative Resistance Effect
Magnetic phases and unusual topological electronic structures of Weyl semimetals in strong interaction limit,Density of states of graphene in the presence of strong point defects
Insulating phase of a two-dimensional electron gas in MgxZn1−xO/ZnO heterostructures below ν=13,Metallic behavior and related phenomena in two dimensions
Lane formation and critical coarsening in a model of bacterial competition,Kinetics of monomer-monomer surface catalytic reactions
Consistency tests for the extraction of the Boer-Mulders and Sivers functions,Multiplicities of charged pions and kaons from semi-inclusive deep-inelastic scattering by the proton and the deuteron
Susceptibilities of one-dimensional quantum spin models at zero temperature,Magnetic susceptibility of the two-dimensional Ising antiferromagnet
Convergence of a lattice calculation for bound-free muon-pair production in peripheral relativistic heavy-ion collisions,Convergence of bound-electron–positron pair production calculations for relativistic heavy-ion collisions
Fermion wave-mechanical operators in curved space-time,Self-forces and atoms in gravitational fields
Solitons and vortices in two-dimensional discrete nonlinear Schrödinger systems with spatially modulated nonlinearity,Matter-wave solitons supported by field-induced dipole-dipole repulsion with spatially modulated strength
Numerical Simulation Evidence of Dynamical Transverse Meissner Effect and Moving Bose Glass Phase,Moving Glass Phase of Driven Lattices
Bose-Einstein Condensation into Nonequilibrium States Studied by Condensate Focusing,Quantum Kinetic Theory of Condensate Growth: Comparison of Experiment and Theory
Parameter-free scaling relation for nonequilibrium growth processes,Crossover effects in a discrete deposition model with Kardar-Parisi-Zhang scaling
D-algebra structure of topological insulators,Fractional Quantum Hall States at Zero Magnetic Field
"Entanglement, excitations, and correlation effects in narrow zigzag graphene nanoribbons",Entanglement patterns and generalized correlation functions in quantum many-body systems
Classification of Topologically Protected Gates for Local Stabilizer Codes,Tradeoffs for Reliable Quantum Information Storage in 2D Systems
Random field xy model in three dimensions,Scaling approach to pinning: Charge density waves and giant flux creep in superconductors
Cascade Anticrossing Measurement of the Anomalous Hyperfine Structure of the 4D2 State of Rubidium,"Cascade-Decoupling Measurements of Excited S-State Hyperfine Structures of Potassium, Rubidium, and Cesium"
QCD effective charge from the three-gluon vertex of the background-field method,Relating a Gluon Mass Scale to an Infrared Fixed Point in Pure Gauge QCD
Critical behavior of a lattice prey-predator model,Vortex dynamics in a three-state model under cyclic dominance
Pressure-induced rotational symmetry breaking in URu2Si2,Odd-parity electronic multipolar ordering in URu2Si2: Conclusions from Si and Ru NMR measurements
Tensor Network Renormalization Yields the Multiscale Entanglement Renormalization Ansatz,Class of Highly Entangled Many-Body States that can be Efficiently Simulated
Linear ultrafast dynamics of plasmon and magnetic resonances in nanoparticles,Giant in-particle field concentration and Fano resonances at light scattering by high-refractive-index particles
Creasing-wrinkling transition in elastomer films under electric fields,Unfolding the Sulcus
Magic Rydberg-Rydberg transitions in electric fields,Dipole Blockade and Quantum Information Processing in Mesoscopic Atomic Ensembles
Low-energy-electron collisions with sodium: Elastic and inelastic scattering from the ground state,Electron-impact excitation of the resonance transition in Be+
Combined static potentials for confinement of neutral species,First Observation of Magnetically Trapped Neutral Atoms
Phonon effects on the transport properties in the fractionally quantized Hall regime,Collective-Excitation Gap in the Fractional Quantum Hall Effect
Multipartite Entanglement of a Two-Separable State,Two computable sets of multipartite entanglement measures
Theory of Superconducting Semiconductors and Semimetals,Superconductivity in Germanium Telluride
Chaotic inflation and supersymmetry breaking,Gravitinos from heavy scalar decay
Noncollinear magnetic structures: A possible cause for current-induced switching,Emission of spin waves by a magnetic multilayer traversed by a current
Strong effects of weak ac driving in short superconducting junctions,Measurement of energy decay in superconducting qubits from nonequilibrium quasiparticles
Orbital Dynamics of the 4f Shell in DyB2C2,Observation of the antiferroquadrupolar order in DyB2C2 by resonant x-ray scattering
Laser-driven single shock compression of fluid deuterium from 45 to 220 GPa,Excited Electron Dynamics Modeling of Warm Dense Matter
Mirror symmetry for open strings,Open string instantons and superpotentials
Phonon contribution to quasiparticle lifetimes in Cu measured by angle-resolved photoemission,Evidence for a New Broadening Mechanism in Angle-Resolved Photoemission from Cu(111)
Torque Differential Magnetometry Using the qPlus Mode of a Quartz Tuning Fork,de Haas-van Alphen and Galvanomagnetic Effect in Bi and Bi-Pb Alloys
Locations of Landau Singularities,"Vertex Function, Coupling Constant, and Composite Particle"
Freezing Flexible Vesicles,Crumpling transition in polymerized membranes
"Dielectric constants of Ir, Ru, Pt, and IrO2: Contributions from bound charges",Optical investigation of the electronic structure of bulk Rh and Ir
Atomic-scale study of diffusion in A15 Nb3Sn,First Principles Calculation of the Interdiffusion Coefficient in Binary Alloys
Operational meaning of quantum measures of recovery,"Quantum Conditional Mutual Information, Reconstructed States, and State Redistribution"
Quantitative analysis of pedestrian counterflow in a cellular automaton model,Lane formation in oppositely charged colloids driven by an electric field: Chaining and two-dimensional crystallization
Spontaneous-emission rates in finite photonic crystals of plane scatterers,Soluble two-dimensional photonic-crystal model
New Kohn-Sham density functional based on microscopic nuclear and neutron matter equations of state,Global systematics of octupole excitations in even-even nuclei
Single-spin precessing gravitational waveform in closed form,Comparison of post-Newtonian templates for compact binary inspiral signals in gravitational-wave detectors
"Nuclear Alignment of Ce137m, Ce137, Ce139, Ce141, and Ce143","A Table of Nuclear Moments, January 1950"
Electron bunch trapping and compression by an intense focused pulse laser,Harmonic generation by superintense light scattering from relativistic electrons
Self-organized Boolean game on networks,Assortative Mixing in Networks
Spherically symmetric spacetimes in f(R) gravity theories,Solar system tests do rule out 1/R gravity
Longitudinal spin pumping and topological superconductivity: Search for Majorana edge states,Fermionized Photons in an Array of Driven Dissipative Nonlinear Cavities
Steady-State Spectrum of Radiation from Autoionizing States,Photoelectron spectrum from laser-induced autoionization in the presence of spontaneous emission and off-diagonal relaxation
"Optical-absorption spectrum of polyacetylene: Effect of lattice deformation, impurities, and end conditions",Solitons in Polyacetylene
"Uniaxial-stress investigation of asymmetrical GaAs-(Ga,Al)As double quantum wells",Variations in the optical spectra of the ground-state exciton in GaAs quantum wells induced by uniaxial stress
Nature of Spin Excitations in Two-Dimensional Mott Insulators: Undoped Cuprates and Other Materials,The spin-½ Heisenberg antiferromagnet on a square lattice and its application to the cuprous oxides
"Role of exchange and correlation potential in calculating x-ray absorption spectra of half-metallic alloys: Mn and Cu K-edge XANES in Cu2MnM Heusler alloys (M=Al, Sn, In)",X-ray absorption at the Ca K edge in natural-garnet solid solutions: A full-multiple-scattering investigation
Magnonic Black Holes,Experimental Black-Hole Evaporation?
Theoretical study of a hypothetical metallic phase of carbon,Norm-Conserving Pseudopotentials
Evidence for stopping in heavy-ion collisions from a study of hard-photon source velocities,Particle multiplicity dependence of high-energy photon production in a heavy-ion reaction
